104	105	45	1
104	105	260	-1
5167	1427	52	1
9798	1427	52	-1
239	2379	326	1
239	7583	326	-1
140	494	419	1
140	494	124	-1
837	9339	3	1
9440	9339	3	-1
7674	4431	272	1
7674	1197	272	-1
587	169	228	1
587	169	59	-1
4528	8708	155	1
3928	8708	155	-1
71	5412	32	1
71	2454	32	-1
789	790	135	1
789	790	118	-1
5041	5979	26	1
11281	5979	26	-1
11273	3632	390	1
11273	6148	390	-1
950	951	204	1
950	951	383	-1
10994	36	168	1
36	36	168	-1
1618	4675	31	1
1618	7571	31	-1
1008	375	144	1
1008	375	103	-1
3959	2467	79	1
9579	2467	79	-1
3764	372	20	1
3764	11497	20	-1
1279	1280	228	1
1279	1280	272	-1
2775	1316	421	1
3668	1316	421	-1
241	10412	32	1
241	6850	32	-1
1562	58	57	1
1562	58	23	-1
1694	35	17	1
12600	35	17	-1
1239	251	89	1
1239	14020	89	-1
902	1723	136	1
902	1723	15	-1
14759	2766	257	1
981	2766	257	-1
5912	7383	129	1
5912	11327	129	-1
1772	314	247	1
1772	314	270	-1
901	2048	37	1
7560	2048	37	-1
101	3786	91	1
101	10567	91	-1
2101	1274	383	1
2101	1274	59	-1
7566	4563	265	1
5552	4563	265	-1
11168	8960	377	1
11168	9159	377	-1
762	118	247	1
762	118	335	-1
13071	4338	24	1
7806	4338	24	-1
2710	35	17	1
2710	103	17	-1
1804	1410	270	1
1804	1410	247	-1
5086	8286	38	1
7273	8286	38	-1
5783	36	168	1
5783	13402	168	-1
2566	2567	341	1
2566	2567	747	-1
1118	1786	80	1
2391	1786	80	-1
10153	9659	377	1
10153	6109	377	-1
2921	3138	21	1
2921	3138	615	-1
706	14450	28	1
3951	14450	28	-1
129	3757	35	1
129	7468	35	-1
643	211	63	1
643	211	269	-1
988	1745	45	1
6963	1745	45	-1
3069	1678	10	1
3069	696	10	-1
3563	3564	136	1
3563	3564	104	-1
7284	6651	7	1
13705	6651	7	-1
11326	6647	360	1
11326	12451	360	-1
635	394	124	1
635	394	132	-1
3409	2731	168	1
36	2731	168	-1
6881	4085	276	1
6881	6994	276	-1
3624	443	247	1
3624	443	335	-1
5112	6981	165	1
1937	6981	165	-1
15	2145	9	1
15	2569	9	-1
4215	2004	37	1
4215	2004	164	-1
6533	607	13	1
908	607	13	-1
4536	8171	122	1
4536	10114	122	-1
3512	320	52	1
3512	320	44	-1
478	6831	38	1
3449	6831	38	-1
9769	774	47	1
9769	9640	47	-1
2041	4431	59	1
2041	4431	151	-1
11468	138	258	1
3141	138	258	-1
11865	14042	410	1
11865	14372	410	-1
1427	4773	35	1
1427	4773	2	-1
6616	5557	13	1
3914	5557	13	-1
6681	119	61	1
6681	3957	61	-1
4813	1194	136	1
4813	1194	15	-1
1378	3731	27	1
1600	3731	27	-1
4984	101	43	1
4984	403	43	-1
4774	2112	136	1
4774	2112	15	-1
3384	3836	53	1
1646	3836	53	-1
9071	101	43	1
101	101	43	-1
2110	323	10	1
2110	323	50	-1
7664	58	422	1
7664	397	422	-1
689	189	26	1
11639	189	26	-1
2057	4901	11	1
2057	4901	72	-1
2706	12904	88	1
2706	6445	88	-1
9141	6170	450	1
5834	6170	450	-1
999	3055	431	1
999	3055	723	-1
6698	6766	140	1
6698	8793	140	-1
783	174	680	1
9	174	680	-1
4077	185	136	1
4077	185	104	-1
93	253	52	1
93	2347	52	-1
9436	851	140	1
3926	851	140	-1
3728	1280	59	1
3728	1280	383	-1
1069	658	58	1
1069	12172	58	-1
6681	2244	423	1
12666	2244	423	-1
5511	4	52	1
5511	4	44	-1
10416	101	43	1
101	101	43	-1
8558	753	71	1
8558	3043	71	-1
3419	4	52	1
3419	4	44	-1
193	1017	6	1
5009	1017	6	-1
3355	6022	202	1
3355	5831	202	-1
924	41	20	1
924	41	48	-1
10202	3719	167	1
2798	3719	167	-1
4321	4154	119	1
4321	5644	119	-1
334	1194	15	1
334	1194	104	-1
2028	768	160	1
3928	768	160	-1
11837	9	8	1
11837	866	8	-1
5865	635	278	1
5865	635	57	-1
5099	3864	32	1
6447	3864	32	-1
3154	2238	540	1
3154	12167	540	-1
5909	1556	383	1
5909	1556	272	-1
8031	8030	19	1
271	8030	19	-1
10135	5561	30	1
10135	99	30	-1
3804	1053	419	1
3804	1053	124	-1
3177	17	680	1
9	17	680	-1
567	343	31	1
567	4486	31	-1
3615	1722	11	1
3615	1722	72	-1
9506	284	92	1
9829	284	92	-1
12014	4807	167	1
12014	12888	167	-1
3193	1274	151	1
3193	1274	383	-1
235	556	37	1
1547	556	37	-1
4303	5730	154	1
4303	758	154	-1
441	959	138	1
441	959	383	-1
12139	58	23	1
4980	58	23	-1
10063	5733	20	1
10063	11579	20	-1
31	4929	86	1
31	4929	69	-1
5530	101	43	1
101	101	43	-1
10256	6239	164	1
10256	2620	164	-1
134	6275	11	1
134	6275	72	-1
14137	4507	154	1
12292	4507	154	-1
3928	1634	20	1
3928	8545	20	-1
6284	6285	443	1
6284	6285	1075	-1
4239	4275	47	1
165	4275	47	-1
7061	2608	13	1
7061	12466	13	-1
1013	951	272	1
1013	951	228	-1
3045	2868	38	1
5768	2868	38	-1
11173	214	73	1
11173	638	73	-1
902	5612	69	1
902	5612	156	-1
5997	138	141	1
138	138	141	-1
5282	1095	52	1
5282	7605	52	-1
653	2533	69	1
653	2533	156	-1
3452	5126	98	1
2859	5126	98	-1
9598	107	46	1
9598	7753	46	-1
6300	1556	228	1
6300	1556	383	-1
1452	2487	72	1
3332	2487	72	-1
1052	11810	79	1
1052	13802	79	-1
31	1281	136	1
31	1281	15	-1
11337	2008	257	1
1018	2008	257	-1
3929	9597	281	1
3929	11745	281	-1
6608	4470	272	1
6608	4470	383	-1
6945	45	13	1
1021	45	13	-1
3278	2151	49	1
3278	2418	49	-1
2572	1901	72	1
2572	1901	11	-1
6173	761	20	1
2107	761	20	-1
2519	1836	545	1
2519	9518	545	-1
6672	58	20	1
6672	58	48	-1
5163	11802	102	1
12263	11802	102	-1
36	6091	18	1
1228	6091	18	-1
6707	6543	151	1
6707	6543	272	-1
11533	11533	149	1
11533	3456	149	-1
11279	8634	75	1
10103	8634	75	-1
951	6775	45	1
951	6775	260	-1
12844	7313	3	1
12844	5939	3	-1
8347	7047	94	1
3800	7047	94	-1
5351	58	20	1
5351	58	48	-1
1097	4994	184	1
1097	1308	184	-1
3715	1003	10	1
419	1003	10	-1
4470	6929	45	1
4470	6929	260	-1
2654	560	195	1
2654	2371	195	-1
7185	7891	324	1
60	7891	324	-1
494	1358	335	1
494	1358	247	-1
2230	3710	140	1
2230	9105	140	-1
7649	635	20	1
4115	635	20	-1
1414	4077	67	1
1414	4077	399	-1
10761	225	46	1
10761	11566	46	-1
399	2455	167	1
9919	2455	167	-1
2538	278	20	1
2538	278	48	-1
3293	36	168	1
3293	13183	168	-1
5087	1749	50	1
1554	1749	50	-1
1229	3839	20	1
1229	3839	48	-1
101	144	91	1
101	7288	91	-1
1836	5480	438	1
6627	5480	438	-1
140	3526	124	1
140	3526	132	-1
7915	6566	3	1
7915	5357	3	-1
681	13274	32	1
1570	13274	32	-1
3793	163	136	1
3793	163	15	-1
3572	3476	143	1
3572	1563	143	-1
6675	138	524	1
3252	138	524	-1
105	604	138	1
105	604	59	-1
7331	1427	52	1
7331	7753	52	-1
9973	6313	1056	1
6313	6313	1056	-1
7556	1660	383	1
7556	1660	59	-1
3972	1673	13	1
3972	2132	13	-1
8210	12884	281	1
11866	12884	281	-1
2022	7599	54	1
2022	7599	64	-1
12017	5323	266	1
12017	3728	266	-1
1004	4707	47	1
2249	4707	47	-1
1166	2053	136	1
1166	2053	15	-1
5169	5250	38	1
5169	3188	38	-1
4982	11355	476	1
5483	11355	476	-1
184	212	63	1
184	212	67	-1
107	10758	31	1
1515	10758	31	-1
4742	5744	504	1
5395	5744	504	-1
7634	9	8	1
7634	9	4	-1
4	3831	35	1
4	3175	35	-1
9212	1547	37	1
10001	1547	37	-1
7466	58	267	1
7466	58	28	-1
1015	4321	79	1
1015	2263	79	-1
2275	2414	136	1
994	2414	136	-1
1693	604	59	1
1693	604	151	-1
274	58	48	1
274	247	48	-1
3146	11519	281	1
13214	11519	281	-1
113	4	52	1
113	4	44	-1
7309	638	73	1
7309	214	73	-1
14721	4483	892	1
2764	4483	892	-1
2659	211	63	1
2659	211	67	-1
1057	6254	80	1
1057	8227	80	-1
514	10687	128	1
1516	10687	128	-1
335	7734	136	1
335	7734	15	-1
3661	2640	24	1
3661	9755	24	-1
5968	4461	13	1
2117	4461	13	-1
5708	635	20	1
5708	635	48	-1
11640	8797	3	1
11640	11944	3	-1
4189	1618	46	1
2170	1618	46	-1
5766	1194	136	1
5766	1194	104	-1
3327	4969	19	1
3327	6982	19	-1
9529	4777	154	1
1160	4777	154	-1
334	1535	69	1
334	1535	86	-1
6769	8702	148	1
6769	4898	148	-1
12094	8900	382	1
3742	8900	382	-1
7902	604	138	1
7902	604	228	-1
403	13397	91	1
403	11148	91	-1
3721	3772	142	1
4410	3772	142	-1
508	8123	86	1
508	8123	69	-1
3116	13965	28	1
3116	6624	28	-1
3585	314	84	1
3839	314	84	-1
8183	951	138	1
8183	951	383	-1
2442	138	362	1
2442	3252	362	-1
10286	6339	203	1
5519	6339	203	-1
1043	3123	105	1
1043	3123	515	-1
7224	101	43	1
403	101	43	-1
7903	12139	28	1
7903	3425	28	-1
8190	635	119	1
8190	635	84	-1
1836	930	438	1
132	930	438	-1
3747	4721	9	1
3747	1317	9	-1
3188	2102	399	1
3188	2102	485	-1
2269	522	10	1
2299	522	10	-1
8932	269	184	1
8932	5303	184	-1
1251	335	136	1
1251	335	15	-1
1395	4672	72	1
3428	4672	72	-1
12316	9	4	1
12316	6313	4	-1
5880	1556	228	1
5880	1556	272	-1
4627	174	8	1
11341	174	8	-1
11137	7726	165	1
11137	9958	165	-1
4072	959	151	1
4072	959	272	-1
743	1953	537	1
11613	1953	537	-1
2691	1282	227	1
2691	10173	227	-1
3946	635	306	1
3946	635	48	-1
9980	5340	9	1
7965	5340	9	-1
7710	10549	436	1
7710	4140	436	-1
419	1428	11	1
419	1428	72	-1
5287	9279	37	1
4183	9279	37	-1
163	188	136	1
163	2748	136	-1
3431	635	20	1
3431	635	445	-1
6765	653	63	1
11126	653	63	-1
6667	35	17	1
6667	103	17	-1
6082	1194	136	1
6082	1194	15	-1
2624	2444	138	1
951	2444	138	-1
386	8955	79	1
386	3111	79	-1
806	1329	11	1
806	1329	72	-1
103	476	2	1
5907	476	2	-1
7102	364	80	1
7102	5057	80	-1
714	58	323	1
714	58	23	-1
8967	2827	117	1
12020	2827	117	-1
9803	207	52	1
9803	1399	52	-1
959	1557	261	1
959	1557	45	-1
430	403	43	1
403	403	43	-1
9841	13128	3	1
9841	2868	3	-1
5381	251	461	1
5381	251	202	-1
14013	859	103	1
7152	859	103	-1
9357	794	210	1
9357	2002	210	-1
1657	604	204	1
1657	604	383	-1
1583	14023	118	1
3807	14023	118	-1
168	140	20	1
168	6993	20	-1
8183	4491	138	1
8183	4491	204	-1
2484	9643	32	1
7604	9643	32	-1
1580	7343	11	1
1580	5389	11	-1
6374	58	422	1
6374	58	445	-1
2223	6430	9	1
7759	6430	9	-1
10358	613	586	1
10358	13903	586	-1
211	9039	15	1
211	9039	136	-1
7430	4085	3	1
6850	4085	3	-1
6394	6048	7	1
6394	2089	7	-1
7058	251	615	1
7058	251	21	-1
